post,reply,comment,total,liked,test_grade,homework_grade,exam_grade,discussion_grade,final_grade,grade_level
1.0,0.0,1.0,2.0,1.0,155.0,307.17,50.0,30.0,73.37,2.0
0.0,3.0,0.0,3.0,0.0,153.78,334.0,48.32,100.0,63.94,2.0
0.0,2.0,0.0,2.0,0.0,151.14,350.5,40.32,20.0,47.42,3.0
0.0,5.0,0.0,5.0,3.0,166.66,266.0,58.5,20.0,45.86,3.0
2.0,2.0,0.0,4.0,0.0,158.5,297.5,57.5,0.0,42.41,3.0
0.0,3.0,0.0,3.0,0.0,79.64,204.1,0.0,0.0,24.13,3.0
4.0,10.0,3.0,17.0,3.0,102.96,76.5,0.0,0.0,18.75,3.0
2.0,3.0,0.0,5.0,1.0,42.0,102.25,57.5,10.0,16.81,3.0
1.0,6.0,0.0,7.0,6.0,55.0,85.75,0.0,0.0,11.18,3.0
6.0,2.0,2.0,10.0,6.0,62.0,8.25,0.0,0.0,10.71,3.0
2.0,26.0,3.0,31.0,6.0,55.82,49.0,0.0,0.0,10.37,3.0
0.0,9.0,0.0,9.0,3.0,45.66,71.5,0.0,0.0,9.67,3.0
4.0,76.0,3.0,83.0,66.0,26.5,0.0,0.0,0.0,5.44,3.0
3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,4.0,3.0
0.0,3.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,3.75,3.0
0.0,2.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,2.75,3.0
0.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,1.25,3.0
0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,5.73,3.0
0.0,2.0,0.0,2.0,0.0,42.0,0.0,0.0,100.0,98.33,1.0
0.0,2.0,1.0,3.0,0.0,39.0,0.0,0.0,100.0,96.0,1.0
0.0,2.0,0.0,2.0,1.0,17.0,0.0,0.0,0.0,61.9,2.0
15.0,11.0,17.0,43.0,16.0,169.5,262.83,56.82,40.0,81.95,2.0
3.0,10.0,0.0,13.0,0.0,171.0,308.0,54.82,30.0,81.62,2.0
0.0,0.0,0.0,0.0,0.0,168.0,243.5,59.0,20.0,76.9,2.0
0.0,0.0,0.0,0.0,0.0,161.82,285.18,54.0,10.0,74.47,2.0
0.0,0.0,0.0,0.0,0.0,159.5,269.67,49.0,10.0,70.93,2.0
